event,method,converged,nobs,positive_periods,zero_periods,total_count,mean_lambda_positive,mean_lambda_zero,pearson_resid_sd,corr_N_lambda,deviance
n_OilSpecificThreatShock_EventOnset,glmfit_poisson,1,140,23,117,26,0.53555128466362,0.116942909852451,0.792318509559542,0.627883352115223,55.0454166698397
n_OilSpecificRealizedShock_EventOnset,glmfit_poisson,1,140,23,117,25,0.517898375032478,0.111866131403872,0.750001974061444,0.609372191404204,52.807342635315
n_StrictSupplyDisruption_EventOnset,glmfit_poisson,1,140,15,125,15,0.271227773321713,0.0874526672013948,0.804812050003277,0.403313706469072,49.8889299253265
n_ChokepointShippingRisk_EventOnset,glmfit_poisson,1,140,12,128,14,0.428107710422669,0.0692399021478748,1.13157771147646,0.652415146243441,41.0435535494441
n_EnergySanction_EventOnset,glmfit_poisson,1,140,10,130,10,0.329395318093263,0.0515849776700188,0.639715368854523,0.529787752830628,29.7412956211411
n_ProducerRegionRisk_EventOnset,glmfit_poisson,1,140,23,117,26,0.404115954502292,0.142780624328609,0.853353106190064,0.427291955438361,67.0718975515115
