Quarter,LGPRUS,LGPRISR,LGPRRU,LGPRCHN
2009Q2,527.019922,350.234524,391.2023005,384.3030134
2009Q3,526.8278078,352.2429826,409.9884743,382.8641396
2009Q4,530.6934567,347.1750152,391.2023005,366.3561646
2010Q1,521.6411327,345.5203729,377.6585035,373.7669618
2010Q2,531.8840056,404.6789019,413.7829674,396.3982744
2010Q3,509.6422495,357.6959628,349.6507561,339.0024081
2010Q4,522.6088121,343.3681483,394.4812828,390.5334017
2011Q1,534.2049285,347.2443567,393.8340314,384.3030134
2011Q2,530.0012377,345.0464356,323.2121052,333.220451
2011Q3,509.8406081,336.1189075,344.4682494,334.4038968
2011Q4,513.7334664,359.2267618,383.5861644,391.8667548
2012Q1,522.8309002,409.3324627,420.9655409,419.9705078
2012Q2,513.1867314,359.8709108,417.438727,407.1871706
2012Q3,511.6878784,399.9037909,389.1820298,365.4977902
2012Q4,505.3354698,400.3531468,367.2072336,346.5735903
2013Q1,516.2653033,350.9542151,369.7178257,370.5408756
2013Q2,527.3407501,362.5484979,402.5351691,379.173684
2013Q3,527.3811079,390.7359489,414.3134726,341.2247218
2013Q4,510.7010888,403.6812578,393.1825633,368.8879454
2014Q1,527.3683427,327.8867137,474.7826486,366.3561646
2014Q2,530.5279297,303.9704342,473.0333329,361.0917913
2014Q3,566.0861311,436.6179252,508.5536602,385.7214769
2014Q4,517.6282998,329.5441192,419.4692536,335.5735008
2015Q1,545.4761657,413.9304021,453.2599493,351.6508228
2015Q2,530.1207825,362.8013364,418.9654742,361.9886583
2015Q3,539.4245261,407.9277048,441.8840608,397.0291914
2015Q4,565.3425317,341.5834686,485.2030264,372.1669277
2016Q1,548.0943496,307.3150688,448.863637,404.3051268
2016Q2,524.84439,284.5016521,418.9654742,361.0917913
2016Q3,548.3669237,288.9818439,451.8158809,372.9701449
2016Q4,533.3160064,271.4674632,468.2131227,379.9227511
2017Q1,555.2987032,337.4333189,464.1180624,419.4692536
2017Q2,564.1386393,317.9115862,465.0780697,434.3805422
2017Q3,571.0519401,313.4507744,479.5790546,472.7387819
2017Q4,534.3112742,328.2584506,427.6666119,423.8925791
2018Q1,538.4986793,323.3260113,466.6578814,416.40779
2018Q2,573.6855842,411.9316114,487.2649551,484.1558964
2018Q3,549.6104457,328.494633,464.4390899,451.8158809
2018Q4,538.8904377,329.6920314,452.5405218,443.47772
2019Q1,538.7020451,304.2818107,446.9732215,452.5405218
2019Q2,553.2609868,342.5474597,449.2374692,461.1814729
2019Q3,551.5773816,326.8147055,430.4065093,450.3506532
2019Q4,528.6502572,288.5681908,425.7973986,413.2496328
2020Q1,543.0577471,307.0101898,432.6337729,453.6177315
2020Q2,509.4094943,223.5606575,362.877553,426.2679877
2020Q3,505.2745572,281.5729166,411.6323469,440.2645922
2020Q4,499.0346588,328.2435938,413.7829674,401.33755
2021Q1,516.2346977,271.3339419,405.4679306,435.2426165
2021Q2,524.6109704,377.2537024,455.7379522,425.3245845
2021Q3,517.7657738,298.8311237,408.3171262,417.438727
2021Q4,529.5815035,309.8324259,475.3590191,439.0325437
2022Q1,622.0784688,339.4320421,633.8594078,506.8904202
2022Q2,580.8226566,321.6294376,590.8988325,460.1831285
2022Q3,566.3578561,325.8049562,560.3348077,466.6578814
2022Q4,566.4485318,277.8164724,560.2118821,466.0289485
2023Q1,558.6820811,314.0748635,535.0277105,477.9123493
2023Q2,550.9647615,310.5892227,528.4894346,472.1470642
2023Q3,543.2866785,313.0005136,529.1628378,461.8415413
2023Q4,595.5740076,580.6429757,503.4785754,448.488402
2024Q1,582.8190064,543.8923952,508.5536602,446.9732215
2024Q2,579.0414224,532.7228922,511.9987831,456.0869927
2024Q3,561.994811,507.6285484,488.7839717,426.7363726
2024Q4,575.6414994,513.9694991,523.6441963,454.6834609
2025Q1,588.0463746,467.5917034,521.8552398,461.8415413
2025Q2,609.2681699,547.9236907,515.3291594,477.9123493
2025Q3,577.4608393,505.5100141,501.5069891,450.7189778
2025Q4,577.2169148,450.8073475,500.3946306,445.8215773
