variant,shock,lag,nobs,Q_stat,pvalue,cvalue,reject_H0,alpha
with_oil,World,4,153,0.229340742576878,0.99390699687477,9.48772903678115,0,0.05
with_oil,World,8,153,2.82260474024118,0.94499187601139,15.5073130558655,0,0.05
with_oil,World,12,153,4.99761484615097,0.958058579568025,21.0260698174831,0,0.05
with_oil,GPT,4,153,0.248817492124231,0.992874102851108,9.48772903678115,0,0.05
with_oil,GPT,8,153,4.61487530126511,0.797833210799457,15.5073130558655,0,0.05
with_oil,GPT,12,153,7.27049979092706,0.83923229797566,21.0260698174831,0,0.05
with_oil,GPA,4,153,0.422031449034093,0.980633708186647,9.48772903678115,0,0.05
with_oil,GPA,8,153,2.32457200169621,0.969410105386028,15.5073130558655,0,0.05
with_oil,GPA,12,153,5.74263328513968,0.928495802381696,21.0260698174831,0,0.05
without_oil,World,4,156,0.279463775212519,0.991100993477833,9.48772903678115,0,0.05
without_oil,World,8,156,2.75180299724488,0.948955024979737,15.5073130558655,0,0.05
without_oil,World,12,156,4.95265361281799,0.959541665367874,21.0260698174831,0,0.05
without_oil,GPT,4,156,0.238031300347378,0.993455275529629,9.48772903678115,0,0.05
without_oil,GPT,8,156,4.43826541735529,0.815577215697948,15.5073130558655,0,0.05
without_oil,GPT,12,156,6.81690844323858,0.869471965966757,21.0260698174831,0,0.05
without_oil,GPA,4,156,0.554342915136944,0.967999581907074,9.48772903678115,0,0.05
without_oil,GPA,8,156,2.4646977213751,0.963356812979734,15.5073130558655,0,0.05
without_oil,GPA,12,156,6.63111113051802,0.880998207362571,21.0260698174831,0,0.05
