Quarter,World_with_oil,GPT_with_oil,GPA_with_oil,World_without_oil,GPT_without_oil,GPA_without_oil
1986Q1,NaN,NaN,NaN,NaN,NaN,NaN
1986Q2,NaN,NaN,NaN,NaN,NaN,NaN
1986Q3,NaN,NaN,NaN,NaN,NaN,NaN
1986Q4,NaN,NaN,NaN,NaN,NaN,NaN
1987Q1,NaN,NaN,NaN,0.0599339759166974,0.174916104047621,0.116710781436025
1987Q2,NaN,NaN,NaN,0.322293556120021,0.123728488854618,0.2375864382366
1987Q3,NaN,NaN,NaN,0.391035467247374,0.951337966876229,0.133814589678139
1987Q4,0.140467984360321,0.190174571042186,-0.0302143051214347,0.0857711226732675,0.159269768484231,-0.104157512694289
1988Q1,-0.15546430580334,-0.574353737200979,0.13575886280338,-0.197188130938867,-0.58277172027802,0.0631488476529376
1988Q2,0.45058894408255,0.245262959538792,0.711314987318258,0.414589446222138,0.233431007393559,0.63487024667974
1988Q3,-0.768133689218614,-1.25628439385456,-0.137654822982958,-0.806783204128457,-1.28794212032912,-0.197434586555577
1988Q4,-0.415374194461033,-0.698053158743725,-0.326825742598013,-0.377139100014336,-0.71553722267975,-0.23901116622337
1989Q1,0.502022656467961,0.67462083943892,0.285023049874718,0.535533185136286,0.651216125274721,0.36620602021864
1989Q2,0.25881097671951,0.413999431095136,-0.0694326310943174,0.150565209333267,0.446543452728049,-0.297736352696113
1989Q3,0.171338545946215,0.0887984111089261,0.558574926574394,0.176861322179234,0.0505560461323054,0.627967173851257
1989Q4,0.14118611470484,-0.315136454879172,0.410990882834202,0.146875507290395,-0.371331828469744,0.48003374105448
1990Q1,-0.662256150010478,-0.381456184511109,-0.829510727420339,-0.755645979637797,-0.381535534747924,-1.00522694651949
1990Q2,0.251320005527971,0.534023386352997,-0.160216919098351,0.168559946265396,0.508945384161297,-0.269448742971877
1990Q3,3.22552762830444,4.32487104021214,1.1574860102895,3.27875510720755,4.28739954962967,1.28073275916659
1990Q4,0.590998701597371,0.807040641130601,0.697077597744176,0.499848893681286,0.818733325633372,0.50555077621398
1991Q1,3.72097228149667,2.33405022409493,4.70972295149595,3.68511491070249,2.36918533180651,4.5902913373944
1991Q2,-2.86127713711465,-1.85951171422559,-3.2155146286604,-2.90068516154258,-1.91731560347558,-3.29863437536337
1991Q3,0.645749229311999,1.20485619749309,-0.170110064800485,0.658586735213809,1.14442876951501,-0.101491529448693
1991Q4,0.0668587710158191,0.369811434486204,-0.763562583734218,0.0591232598934714,0.287228292609945,-0.722169095902671
1992Q1,-0.888908242697081,-0.938312366063844,-0.571602907047026,-0.949661184552886,-0.951138596596341,-0.712524781640926
1992Q2,-0.0397931541358568,0.234341153336357,-0.225661337184707,-0.0777321464897701,0.231917668647851,-0.323865059762299
1992Q3,-0.537292388608891,-0.516981985219311,-0.404252971302774,-0.575335147362274,-0.538235962750236,-0.477283447508993
1992Q4,-0.0188290866379792,-0.0289471926463402,0.102665929439745,-0.0341976808325286,-0.0634317331405175,0.0888115664826949
1993Q1,1.01131465627003,1.01051235795128,0.934910228767957,1.0090555287912,0.997025078746565,0.91293620497933
1993Q2,0.486718919292331,1.02437247970867,-0.183368222372168,0.461896977668401,1.00738212664596,-0.247038485427125
1993Q3,0.112798301356254,-0.353090382467338,0.736911975651357,0.0958262741702886,-0.375073193470347,0.708636356930095
1993Q4,-0.327300023333094,0.378004787806849,-1.51097054071304,-0.321553507274949,0.363944623054479,-1.51239140895952
1994Q1,0.282502746510534,0.42919046568313,0.377450826689559,0.330380432465149,0.397114907731112,0.459300946346498
1994Q2,0.397473201957822,0.609348864865333,-0.099347442426168,0.431484059010707,0.617567114527973,-0.0799915110635157
1994Q3,-0.1650720054645,0.28338081625463,-0.470952041552919,-0.176980300680887,0.253183168871499,-0.506120092630408
1994Q4,-0.200380337524803,-0.180114110227976,0.0526114364681573,-0.168384067108005,-0.227560843999321,0.151248727710195
1995Q1,-0.651815362297239,-1.22108982502133,0.020779918631806,-0.6270687450994,-1.2457673353,0.0631082547773241
1995Q2,0.619435596836366,0.806425566221527,0.513325214997963,0.614154128166754,0.792115935861335,0.480835297729006
1995Q3,0.0143839329903123,0.0825898525766902,0.21688988311027,0.0230809420561151,0.0591685182631387,0.228715216407044
1995Q4,-1.37678894787193,-1.74459954918388,-1.02934762823284,-1.35222871565581,-1.7828119288788,-0.947704510698375
1996Q1,0.250840057465305,0.193649153398595,0.343290951179985,0.228994259020978,0.205112525464903,0.280716256876814
1996Q2,-0.49878153296146,-0.921184269282943,-0.0190993172843813,-0.549621652733128,-0.919445174133069,-0.137751170108328
1996Q3,0.0728571162982383,0.0634597884471291,0.285352277508093,0.105417209819734,0.014826882514243,0.389637726834362
1996Q4,-1.22428453523266,-0.966232566502925,-1.36673679296074,-1.25811939277713,-0.981306043798816,-1.40825324600437
1997Q1,-1.13786472776333,-1.4746549334008,-0.494629323362099,-1.22898163694767,-1.44826633115854,-0.6561375536176
1997Q2,-0.842164482982054,-0.946366876462265,-0.675766000535442,-0.882918207398728,-0.950997389931825,-0.726544179863621
1997Q3,-1.41349881513039,-1.5205462371792,-0.929078547509743,-1.4113116137172,-1.54704959476168,-0.886525497972837
1997Q4,-0.552985888869286,0.274816890260842,-1.50189133105593,-0.543065830078393,0.291325457774003,-1.46568498028152
1998Q1,0.184581706662275,0.441586952092348,-0.0342584979683325,0.166390971613296,0.472312643871974,-0.0664662776269644
1998Q2,0.266774923635198,0.733259707791089,-0.597498499432042,0.2674651729353,0.741608017932483,-0.588623296832941
1998Q3,-0.307544309439294,-0.810331749672659,1.13793420721108,-0.288671743755675,-0.800501114967771,1.15831977470531
1998Q4,-0.591402203805162,-0.0391466144410136,-1.16859890687653,-0.566162469839567,-0.0456736772340392,-1.12871048777991
1999Q1,-0.312903879775071,-0.257356902698333,-0.126414017713111,-0.270375872406106,-0.281415354892685,-0.0529590852634759
1999Q2,0.735878417843669,0.269036374629636,1.0656564980658,0.735064277856109,0.273118645717559,1.04499587495095
1999Q3,-1.49795231958476,-1.21538000915903,-1.28945195160627,-1.49462146133822,-1.25951134187679,-1.26247506536089
1999Q4,-0.0655386977788999,-0.125165170403513,0.131229436146026,-0.11713996412877,-0.0902210819937822,0.0175691799774919
2000Q1,-0.998246406481215,-1.40552157043507,-0.557483556263176,-1.09485203926881,-1.36832774329033,-0.760624350141951
2000Q2,-0.440413847632817,-0.440536011610994,-0.237101178059894,-0.515747729116933,-0.438482329613029,-0.356693172756244
2000Q3,-1.49689867401472,-1.07260335779192,-1.77037935327522,-1.4986951138951,-1.10913146836759,-1.70062345298099
2000Q4,-0.508936860760924,-0.962311985057114,0.368763750756394,-0.550153211859664,-0.951380966038404,0.336547080960746
2001Q1,-0.651836993187406,-0.261674124426282,-0.906920508126671,-0.701674121045272,-0.277606421788773,-0.952353554790885
2001Q2,-0.323439125648564,-0.471417559126738,0.0280529504147669,-0.354728211259418,-0.510373896219733,0.0303605803310902
2001Q3,4.82755647312631,2.51075185853472,5.27452979506228,4.92173478559073,2.53081911490168,5.4105781936442
2001Q4,3.70329989164768,2.23723311337896,3.76779214969001,3.71772455635342,2.24941208393319,3.67731568082839
2002Q1,-1.47881407368853,-1.59767829031633,-0.612682304496816,-1.53782921382048,-1.56318211934806,-0.814361373944086
2002Q2,1.10597574593347,1.11994276402371,0.620354382405463,0.994809900342057,1.20816610234026,0.306989866654501
2002Q3,0.19897710460624,0.50647025433254,-0.200380979361877,0.169973359229401,0.49460497779581,-0.30659071743073
2002Q4,0.661059247260551,1.06468233319198,0.668676257970797,0.592713650598742,1.07598508493248,0.465997630510643
2003Q1,2.69493657215224,3.48431362279397,1.93213940250135,2.65247418505092,3.49783216580712,1.76221761896848
2003Q2,-0.222115409438142,-1.01297574939723,0.530799639102621,-0.258972504792699,-1.08069433685919,0.460184270474841
2003Q3,-0.873293362185133,-1.36058116291561,-0.452130799915097,-0.855572354512914,-1.44257747462479,-0.391264702709481
2003Q4,-0.154979521518913,-0.179249831685673,-0.107268224896197,-0.127539669970861,-0.249846956405823,-0.0555405941127969
2004Q1,-0.0324149769679801,-0.397621093882448,0.198498350027854,-0.0751031165093413,-0.435074298380352,0.0927934042224078
2004Q2,0.414963021872222,-0.316806955150546,0.933193756614737,0.401148595093842,-0.388581636338049,0.930868655731658
2004Q3,0.39578054279187,0.76702194874164,0.233948323835562,0.474266224582554,0.680567523673117,0.436681891689291
2004Q4,-0.380038140397424,-0.895720898635672,-0.0397152402543935,-0.402198000933966,-0.960537017671698,-0.0385619253199886
2005Q1,-0.537469797968219,-0.379485402477856,-0.801073864925184,-0.564300208230882,-0.468463516900938,-0.756077326619443
2005Q2,-0.569141163941066,-0.749213947714838,-0.244029423627119,-0.648516006017367,-0.792260926409163,-0.349384074039657
2005Q3,1.24051101026515,0.311565499483285,1.54044145032943,1.2611130705404,0.25622657205177,1.63197228483322
2005Q4,-1.35025407401674,-1.26389201775641,-0.970418117364076,-1.30550091264614,-1.3626345550075,-0.780082583372865
2006Q1,-0.060079777432346,0.37476617744803,-0.417901578860048,-0.0286700885188391,0.290750757729058,-0.236539259924901
2006Q2,0.0462229541128334,0.0601280209827411,-0.196539017102602,0.0109275744715288,0.0017640131640974,-0.16736887575469
2006Q3,1.17231166921516,1.4168059263512,0.83782850028457,1.2655844233631,1.33167564082147,1.12903232487802
2006Q4,-0.883676930462083,-0.221607333997561,-1.30066967160174,-0.816048110116341,-0.320157376005245,-1.04636095910555
2007Q1,-0.213914818471679,-0.495719794258032,0.00665227788586539,-0.270341326529645,-0.522594900538637,-0.030328921664388
2007Q2,-0.16327057873312,-0.527960405917642,0.102890079698655,-0.165048197204921,-0.581172097788254,0.173907304689459
2007Q3,-0.110760433307775,0.015239381550771,-0.0131683057439841,0.0171632545822838,-0.0413464629617847,0.299296317523098
2007Q4,-0.119911236870226,0.310702577774077,-0.642088298516532,-0.0886943639908227,0.226406816312411,-0.467413791092264
2008Q1,-0.854472320570194,-1.35936786719564,-0.362691545487784,-0.870597135969189,-1.462062855642,-0.232706008191041
2008Q2,-0.457205526732096,-0.213681705915537,-0.691713280677846,-0.464092743814516,-0.301750543410487,-0.561668639980345
2008Q3,0.222293304845441,0.134548381760177,0.267407535941879,0.283515090116414,-0.0166952343416348,0.57601061567927
2008Q4,-0.76419909106898,-1.00891657479258,-0.345905396523117,-0.67075060016538,-1.1688305583592,0.0405623660586841
2009Q1,-0.304166337821966,0.0764872389629331,-0.489666267668067,-0.325224648729723,0.0145115427427015,-0.455193761125913
2009Q2,0.639830676523362,0.513754122751722,0.543188979828962,0.542119592251315,0.581580185610812,0.287655120636814
